name,value,year,lastValue,rank
USDT,28.359985,2018.09,24.187357,8
XMR,28.209506,2018.04,54.401605,11
USDT,28.056949,2018.10,28.359985,8
ADA,27.076158,2018.09,34.208436,10
USDT,27.040515,2018.07,24.909196,8
TRX,26.824671,2018.02,51.731796,9
XEM,26.629560,2017.09,19.774710,15
DASH,26.367132,2017.09,13.654196,11
XMR,26.175652,2018.06,39.925288,11
EOS,26.168999,2019.01,25.822342,4
DASH,26.054142,2018.06,38.727248,13
TRX,25.989440,2018.07,40.227456,9
EOS,25.822342,2018.12,48.534501,4
LSK,25.594522,2018.01,8.901059,27
LSK,25.196442,2018.02,25.594522,27
USDT,24.909196,2018.06,23.112645,8
DASH,24.889064,2018.04,47.784265,13
MIOTA,24.682646,2018.08,32.340113,12
USDT,24.187357,2018.08,27.040515,8
XEM,23.731650,2018.06,37.855890,18
TRX,23.508266,2018.04,34.811367,9
DASH,23.439462,2017.10,26.367132,13
BCH,23.394320,2019.03,21.435956,5
NEO,23.386740,2018.07,36.896730,16
USDT,23.112645,2018.05,22.874381,8
ETC,22.975018,2018.02,34.509581,16
XRP,22.943476,2017.04,2.240991,2
USDT,22.874381,2018.04,22.165422,8
XLM,22.867187,2019.01,30.704868,7
NEO,22.795240,2017.12,15.926755,15
XMR,22.745057,2018.07,26.175652,11
XEM,22.708980,2017.12,15.019830,17
QTUM,22.349429,2018.02,44.795593,24
USDT,22.165422,2018.03,21.966256,8
EOS,22.032592,2019.02,26.168999,4
LTC,22.030098,2017.08,21.537767,3
NANO,22.000758,2018.02,44.907738,38
ETC,21.993174,2018.05,14.257891,17
USDT,21.966256,2018.02,13.747935,8
NANO,21.579694,2018.03,22.000758,37
LTC,21.537767,2017.07,14.873663,3
BCH,21.435956,2019.02,30.147327,5
ADA,21.396393,2018.10,27.076158,10
XVG,20.900707,2018.01,0.880408,41
XEM,20.829690,2017.10,26.629560,16
LTC,20.738728,2019.02,20.008597,3
TRX,20.736034,2018.08,25.989440,9
OMG,20.710046,2018.01,9.501141,25
BTS,20.660815,2018.01,3.573106,36
XEM,20.505960,2017.06,4.664619,10
USDT,20.465578,2019.03,20.263112,8
XRP,20.423069,2017.05,22.943476,2
XEM,20.421990,2018.04,35.564310,18
DASH,20.399783,2018.07,26.054142,13
DASH,20.320037,2017.11,23.439462,13
USDT,20.263112,2019.02,19.084461,8
ICX,20.219253,2018.02,24.507315,31
EOS,20.141988,2017.12,4.957109,4
LTC,20.027057,2018.12,30.282560,3
LTC,20.008597,2019.01,20.027057,3
XMR,19.974376,2018.08,22.745057,11
MIOTA,19.812269,2018.09,24.682646,12
QTUM,19.800555,2018.05,12.737213,25
XEM,19.774710,2017.08,14.337990,14
PPT,19.742129,2018.02,16.532178,52
XMR,19.728474,2018.09,19.974376,11
LSK,19.671814,2018.03,25.196442,27
MIOTA,19.332939,2017.09,7.952681,10
QTUM,19.277190,2018.03,22.349429,24
XMR,19.225959,2018.10,19.728474,11
ETC,19.103815,2017.09,13.903492,14
USDT,19.084461,2019.01,18.533989,8
OMG,18.893893,2018.03,13.522679,25
BTG,18.825028,2018.03,18.518997,23
ADA,18.818853,2018.11,21.396393,10
XMR,18.754458,2017.09,6.490387,9
NEO,18.545865,2018.08,23.386740,16
USDT,18.533989,2018.12,17.648768,8
BTG,18.518997,2018.02,46.388020,23
XEM,18.389610,2018.07,23.731650,18
ARDR,18.372300,2018.01,4.307076,52
NEO,18.370500,2017.10,15.860900,14
USDT,17.648768,2018.11,28.056949,8
DASH,17.620716,2018.09,17.454996,13
OMG,17.595197,2018.05,8.931438,26
XMR,17.494915,2018.11,19.225959,11
DASH,17.454996,2018.08,20.399783,13
TRX,17.408040,2019.02,13.475099,9
ZEC,17.342054,2018.01,9.056361,19
ETC,17.095477,2018.07,16.137627,17
ETH,17.010119,2017.03,9.577318,1
ICX,16.939552,2018.05,8.207507,34
TRX,16.812844,2018.09,20.736034,9
BNB,16.757169,2019.03,8.902380,6
BNB,16.740919,2018.06,16.432438,6
ETC,16.683726,2017.07,16.032864,11
XLM,16.664451,2017.12,4.579525,7
BSV,16.646478,2019.01,17.542852,11
BNB,16.616500,2018.07,16.740919,6
PPT,16.532178,2018.01,5.200753,49
STEEM,16.516918,2018.01,2.956856,33
BNB,16.432438,2018.05,14.673028,6
XLM,16.226769,2019.03,15.926325,7
ETC,16.137627,2018.06,21.993174,17
ETC,16.032864,2017.06,6.008391,9
MIOTA,15.993362,2017.10,19.332939,12
NEO,15.926755,2017.11,18.370500,14
XLM,15.926325,2019.02,22.867187,7
STRAT,15.868512,2018.01,5.830437,45
NEO,15.860900,2017.09,4.054325,13
MIOTA,15.602087,2018.10,19.812269,12
ETC,15.513308,2018.08,17.095477,17
TRX,15.295037,2019.03,17.408040,9
DASH,15.234334,2018.10,17.620716,13
TRX,15.029690,2018.11,14.525467,9
XEM,15.019830,2017.11,20.829690,16
LSK,14.972738,2018.05,8.098167,29
LTC,14.873663,2017.06,8.092547,3
BNB,14.673028,2018.04,10.123983,6
TRX,14.525467,2018.10,16.812844,9
XEM,14.337990,2017.07,20.505960,12
ICX,14.331394,2018.03,20.219253,31
NEO,14.290770,2018.09,18.545865,16
ETC,14.257891,2018.04,30.839113,17
ETC,13.903492,2017.08,16.683726,13
ETC,13.894162,2018.09,15.513308,17
XMR,13.882955,2017.10,18.754458,11
XEM,13.809240,2018.08,18.389610,18
USDT,13.747935,2018.01,8.137357,8
DASH,13.654196,2017.08,12.835548,11
BNB,13.540715,2018.08,16.616500,6
OMG,13.522679,2018.02,20.710046,25
TRX,13.475099,2019.01,9.878571,9
MIOTA,13.427772,2018.11,15.602087,12
WAVES,13.349800,2018.01,6.111300,20
ZEC,13.166843,2018.03,12.251282,19
QTUM,13.045747,2018.06,19.800555,25
DASH,12.997185,2018.11,15.234334,13
BTG,12.875011,2018.05,7.264775,24
DASH,12.835548,2017.07,10.655829,9
XMR,12.817058,2017.11,13.882955,11
QTUM,12.737213,2018.04,19.277190,25
BNB,12.521523,2018.11,12.163368,6
ZEC,12.251282,2018.02,17.342054,19
BNB,12.163368,2018.10,10.792342,6
XVG,12.129543,2018.05,7.071567,48
NEO,12.024610,2018.10,14.290770,16
ETC,11.950465,2017.10,19.103815,15
BSV,11.809994,2019.03,11.571977,11
OMG,11.788670,2018.06,17.595197,26
ADA,11.734202,2019.01,10.804292,10
ETC,11.726067,2018.10,13.894162,17
BCN,11.709553,2018.01,3.499831,35
BCN,11.691922,2018.06,10.138297,39
BSV,11.571977,2019.02,16.646478,11
NANO,11.389970,2018.05,7.140389,41
ZEC,11.240675,2018.05,7.012553,20
ETH,11.163231,2016.10,10.125835,1
HC,11.132401,2018.01,7.461588,59
ADA,11.106757,2019.03,10.193867,10
ETH,11.078237,2016.06,8.094922,1
SNT,11.012886,2018.01,2.613028,47
MIOTA,10.970942,2019.01,8.236514,13
KMD,10.831845,2018.01,2.882739,39
AE,10.816204,2018.05,3.437029,47
ADA,10.804292,2018.12,18.818853,10
BNB,10.792342,2018.09,13.540715,6
STEEM,10.783563,2018.02,16.516918,34
ICX,10.781528,2018.06,16.939552,34
DASH,10.655829,2017.06,6.266482,7
MIOTA,10.624727,2017.07,16.406316,8
OMG,10.615929,2017.09,1.355418,21
NEO,10.506600,2018.11,12.024610,16
STEEM,10.304256,2018.05,4.342265,37
DOGE,10.297974,2018.01,2.410245,21
ADA,10.193867,2019.02,11.734202,10
MIOTA,10.174637,2017.11,15.993362,12
ZEC,10.158348,2018.06,11.240675,20
BCN,10.138297,2018.05,4.024122,39
XEM,10.128510,2018.09,13.809240,18
ETH,10.125835,2016.09,7.258096,1
BNB,10.123983,2018.03,9.557118,6
LSK,9.983690,2018.06,14.972738,29
ETC,9.939025,2017.11,11.950465,15
ETH,9.897517,2016.07,11.078237,1
VET,9.879316,2018.09,8.488401,20
TRX,9.878571,2018.12,15.029690,9
BTS,9.876572,2018.05,3.859885,40
DGD,9.865880,2018.03,9.248580,89
XMR,9.820061,2018.12,17.494915,12
ONT,9.676943,2018.06,9.665526,15
QTUM,9.673050,2017.09,3.795181,20
ONT,9.665526,2018.05,2.320194,15
ETC,9.665351,2018.11,11.726067,17
SC,9.645493,2018.01,2.128674,42
BTM,9.618868,2018.05,4.886163,51
QTUM,9.583323,2017.12,7.214288,24
ETH,9.577318,2017.02,7.333317,1
BNB,9.557118,2018.02,8.750630,6
SC,9.549148,2018.05,3.505695,49
OMG,9.501141,2017.12,6.124760,25
XEM,9.371430,2018.10,10.128510,18
DGD,9.248580,2018.02,3.504400,87
STRAT,9.214076,2018.02,15.868512,48
ETH,9.202370,2016.11,11.163231,1
ETH,9.128614,2016.04,6.557488,1
GNT,9.078773,2018.01,2.613738,48
ZEC,9.056361,2017.12,5.530829,19
ZIL,9.054528,2018.05,2.955025,31
OMG,9.042946,2017.10,10.615929,22
OMG,8.931438,2018.04,18.893893,26
BNB,8.902380,2019.02,8.094664,6
LSK,8.901059,2017.12,4.947864,27
PPT,8.879893,2018.05,4.390676,58
SC,8.811954,2018.02,9.645493,44
XVG,8.790695,2018.03,7.884334,43
ZIL,8.767489,2018.06,9.054528,31
BNB,8.750630,2018.01,2.063610,6
REP,8.741887,2018.01,3.225112,29
XMR,8.721879,2019.01,9.820061,12
STRAT,8.543373,2017.06,0.798829,28
OMG,8.541033,2018.07,11.788670,26
BCD,8.515045,2018.05,3.271611,43
XTZ,8.473925,2018.09,10.073809,19
AE,8.457431,2018.06,10.816204,47
BCN,8.418627,2018.02,11.709553,36
XMR,8.411856,2019.03,7.274184,12
XEM,8.406432,2018.11,9.371430,18
ZEC,8.405774,2018.08,7.857831,20
BTS,8.251690,2018.02,20.660815,37
MIOTA,8.236514,2018.12,13.427772,13
ICX,8.207507,2018.04,14.331394,33
MIOTA,8.186830,2019.03,7.177162,13
QTUM,8.140582,2018.07,13.045747,25
USDT,8.137357,2017.12,4.525137,8
LSK,8.098167,2018.04,19.671814,29
ETH,8.094922,2016.05,9.128614,1
BNB,8.094664,2019.01,6.867509,6
LTC,8.092547,2017.05,3.907955,3
XTZ,8.091086,2018.10,8.473925,19
ONT,8.034779,2018.07,9.676943,15
BCN,7.966582,2018.03,8.418627,35
MIOTA,7.952681,2017.08,10.624727,10
XTZ,7.947111,2018.11,8.091086,19
STRAT,7.943040,2018.03,9.214076,48
DASH,7.893241,2018.12,12.997185,14
XVG,7.884334,2018.02,20.900707,43
ZEC,7.857831,2018.07,10.158348,20
PPT,7.820320,2018.03,19.742129,52
OMG,7.785878,2018.08,8.541033,26
BTG,7.728341,2018.06,12.875011,24
ARK,7.712901,2018.01,3.574406,53
VERI,7.689131,2018.01,2.021552,83
XRP,7.533403,2015.01,4.063339,1
STRAT,7.526776,2018.05,3.612438,54
LSK,7.504789,2017.09,2.287574,23
WAVES,7.464370,2018.05,3.757790,21
HC,7.461588,2017.12,3.275318,56
ETH,7.333317,2017.01,6.715873,1
DCR,7.321957,2018.06,5.821994,28
XMR,7.274184,2019.02,8.721879,12
BTG,7.264775,2018.04,18.825028,24
ETH,7.258096,2016.08,9.897517,1
DASH,7.215720,2019.03,5.852012,14
QTUM,7.214288,2017.11,7.010144,23
VET,7.205622,2018.10,9.879316,21
DASH,7.179070,2019.01,7.893241,14
MIOTA,7.177162,2019.02,10.970942,13
NANO,7.140389,2018.04,21.579694,40
XVG,7.071567,2018.04,8.790695,47
DCR,7.019407,2018.01,3.479752,26
ZEC,7.012553,2018.04,13.166843,20
XEM,7.011276,2018.12,8.406432,19
