name,value,year,lastValue,rank
TRX,51.731796,2018.01,1.362822,10
BTC,51.729288,2014.12,43.852924,1
EOS,51.171402,2018.10,59.804656,5
MIOTA,50.252518,2018.02,111.074199,13
BTC,50.030854,2014.10,63.117030,1
XLM,49.026422,2018.08,39.988174,8
LTC,48.797601,2018.07,70.046943,4
EOS,48.534501,2018.11,51.171402,5
DASH,47.784265,2018.03,46.134474,14
XLM,46.654144,2018.10,42.191971,8
BTG,46.388020,2018.01,49.899282,24
DASH,46.134474,2018.02,94.918703,14
EOS,45.181284,2018.04,56.920330,5
NANO,44.907738,2018.01,0.316923,38
QTUM,44.795593,2018.01,9.583323,25
XLM,44.303891,2018.11,46.654144,8
ETH,44.044754,2017.04,17.010119,2
LTC,43.915323,2018.08,48.797601,4
BTC,43.852924,2014.11,50.030854,1
BTC,43.095511,2015.01,51.729288,1
XLM,42.191971,2018.09,49.026422,8
XLM,41.716217,2018.04,59.117729,8
LTC,41.689354,2017.09,22.030098,4
ADA,41.036849,2018.07,59.046829,11
BTC,40.848321,2015.08,36.622952,1
ADA,40.546049,2018.04,76.096989,11
TRX,40.227456,2018.06,60.091736,10
XLM,39.988174,2018.07,55.443370,8
XMR,39.925288,2018.05,28.209506,12
MIOTA,39.890429,2017.12,10.174637,13
DASH,38.727248,2018.05,24.889064,14
BTC,38.311790,2015.03,32.857973,1
LTC,38.156025,2018.09,43.915323,4
XEM,37.855890,2018.05,20.421990,19
XMR,36.938621,2018.02,59.643997,12
NEO,36.896730,2018.06,55.113370,17
BTC,36.622952,2015.07,32.129622,1
XEM,35.564310,2018.03,52.438680,18
BTC,35.449732,2015.04,38.311790,1
LTC,34.960065,2018.10,38.156025,4
BTC,34.834316,2015.10,33.404042,1
TRX,34.811367,2018.03,26.824671,10
ETC,34.509581,2018.01,30.189971,17
ADA,34.314737,2017.12,5.523996,11
ADA,34.208436,2018.08,41.036849,11
BTC,33.404042,2015.09,40.848321,1
BTC,33.166830,2015.05,35.449732,1
BTC,32.857973,2015.02,43.095511,1
MIOTA,32.340113,2018.07,52.693501,13
BTC,32.129622,2015.06,33.166830,1
EOS,31.895335,2019.03,22.032592,5
NEO,31.732545,2018.04,80.754700,17
XMR,31.325760,2017.12,12.817058,12
ETC,30.839113,2018.03,22.975018,17
XLM,30.704868,2018.12,44.303891,8
LTC,30.282560,2018.11,34.960065,4
ETC,30.189971,2017.12,9.939025,17
BCH,30.147327,2019.01,30.101947,6
BCH,30.101947,2018.12,80.559355,6
LTC,29.755004,2019.03,20.738728,4
LTC,29.367961,2017.11,28.397744,4
MIOTA,28.757854,2018.04,53.262193,13
LTC,28.397744,2017.10,41.689354,4
USDT,28.359985,2018.09,24.187357,9
XMR,28.209506,2018.04,54.401605,12
USDT,28.056949,2018.10,28.359985,9
ADA,27.076158,2018.09,34.208436,11
USDT,27.040515,2018.07,24.909196,9
TRX,26.824671,2018.02,51.731796,10
XEM,26.629560,2017.09,19.774710,16
