name,value,year,lastValue,rank
NEO,3173.254500,2018.04,8075.470000,16
XMR,3132.576041,2017.12,1281.705788,11
ETC,3083.911269,2018.03,2297.501840,16
XLM,3070.486824,2018.12,4430.389054,7
LTC,3028.256022,2018.11,3496.006537,3
ETC,3018.997143,2017.12,993.902494,16
BCH,3014.732747,2019.01,3010.194661,5
BCH,3010.194661,2018.12,8055.935542,5
LTC,2975.500410,2019.03,2073.872814,3
LTC,2936.796129,2017.11,2839.774397,3
MIOTA,2875.785417,2018.04,5326.219314,12
LTC,2839.774397,2017.10,4168.935431,3
USDT,2835.998470,2018.09,2418.735658,8
XMR,2820.950579,2018.04,5440.160528,11
USDT,2805.694872,2018.10,2835.998470,8
ADA,2707.615830,2018.09,3420.843614,10
USDT,2704.051498,2018.07,2490.919612,8
TRX,2682.467080,2018.02,5173.179556,9
XEM,2662.956000,2017.09,1977.471000,15
DASH,2636.713155,2017.09,1365.419589,11
XMR,2617.565154,2018.06,3992.528815,11
EOS,2616.899859,2019.01,2582.234218,4
DASH,2605.414228,2018.06,3872.724832,13
TRX,2598.943956,2018.07,4022.745613,9
EOS,2582.234218,2018.12,4853.450102,4
LSK,2559.452189,2018.01,890.105861,27
LSK,2519.644210,2018.02,2559.452189,27
USDT,2490.919612,2018.06,2311.264544,8
DASH,2488.906375,2018.04,4778.426498,13
MIOTA,2468.264584,2018.08,3234.011280,12
USDT,2418.735658,2018.08,2704.051498,8
XEM,2373.165000,2018.06,3785.589000,18
TRX,2350.826622,2018.04,3481.136673,9
DASH,2343.946234,2017.10,2636.713155,13
BCH,2339.431979,2019.03,2143.595618,5
NEO,2338.674000,2018.07,3689.673000,16
USDT,2311.264544,2018.05,2287.438142,8
ETC,2297.501840,2018.02,3450.958113,16
XRP,2294.347627,2017.04,224.099076,2
USDT,2287.438142,2018.04,2216.542185,8
XLM,2286.718690,2019.01,3070.486824,7
NEO,2279.524000,2017.12,1592.675500,15
XMR,2274.505681,2018.07,2617.565154,11
XEM,2270.898000,2017.12,1501.983000,17
QTUM,2234.942874,2018.02,4479.559266,24
USDT,2216.542185,2018.03,2196.625610,8
EOS,2203.259244,2019.02,2616.899859,4
LTC,2203.009837,2017.08,2153.776658,3
NANO,2200.075828,2018.02,4490.773818,38
ETC,2199.317381,2018.05,1425.789057,17
USDT,2196.625610,2018.02,1374.793477,8
NANO,2157.969369,2018.03,2200.075828,37
LTC,2153.776658,2017.07,1487.366316,3
BCH,2143.595618,2019.02,3014.732747,5
ADA,2139.639274,2018.10,2707.615830,10
XVG,2090.070737,2018.01,88.040842,41
XEM,2082.969000,2017.10,2662.956000,16
LTC,2073.872814,2019.02,2000.859669,3
TRX,2073.603394,2018.08,2598.943956,9
OMG,2071.004609,2018.01,950.114118,25
BTS,2066.081537,2018.01,357.310637,36
XEM,2050.596000,2017.06,466.461900,10
USDT,2046.557763,2019.03,2026.311240,8
XRP,2042.306875,2017.05,2294.347627,2
XEM,2042.199000,2018.04,3556.431000,18
DASH,2039.978302,2018.07,2605.414228,13
DASH,2032.003705,2017.11,2343.946234,13
USDT,2026.311240,2019.02,1908.446134,8
