name,value,year,lastValue,rank
BTC,22.366705,2014.12,9.641999,1
EOS,22.355862,2018.10,9.776735,5
MIOTA,22.337741,2018.02,10.045613,13
BTC,22.333321,2014.10,9.800147,1
XLM,22.313040,2018.08,9.601932,8
LTC,22.308362,2018.07,9.845389,4
EOS,22.302956,2018.11,9.709027,5
DASH,22.287377,2018.03,9.664026,14
XLM,22.263443,2018.10,9.625230,8
BTG,22.257722,2018.01,9.698094,24
DASH,22.252241,2018.02,9.977352,14
EOS,22.231364,2018.04,9.755267,5
NANO,22.225291,2018.01,7.500954,38
QTUM,22.222791,2018.01,8.981516,25
XLM,22.211753,2018.11,9.668890,8
ETH,22.205887,2017.04,9.230707,2
LTC,22.202944,2018.08,9.688398,4
BTC,22.201522,2014.11,9.699238,1
BTC,22.184100,2015.01,9.713737,1
XLM,22.162911,2018.09,9.690430,8
XLM,22.151571,2018.04,9.771718,8
LTC,22.150927,2017.09,9.343016,4
ADA,22.135151,2018.07,9.771197,11
BTC,22.130546,2015.08,9.563753,1
ADA,22.123119,2018.04,9.881367,11
TRX,22.115230,2018.06,9.778815,10
XLM,22.109264,2018.07,9.743850,8
XMR,22.107691,2018.05,9.450395,12
MIOTA,22.106817,2017.12,9.007519,13
DASH,22.077224,2018.05,9.396009,14
BTC,22.066438,2015.03,9.516641,1
LTC,22.062364,2018.09,9.642616,4
XEM,22.054467,2018.05,9.310098,19
XMR,22.029938,2018.02,9.775567,12
NEO,22.028804,2018.06,9.741257,17
BTC,22.021356,2015.07,9.506906,1
XEM,21.992023,2018.03,9.719652,18
BTC,21.988796,2015.04,9.583332,1
LTC,21.974887,2018.10,9.581563,4
BTC,21.971284,2015.10,9.523799,1
TRX,21.970625,2018.03,9.428534,10
ETC,21.961918,2018.01,9.479863,17
ADA,21.956256,2017.12,8.742253,11
ADA,21.953153,2018.08,9.613174,11
BTC,21.929358,2015.09,9.611174,1
BTC,21.922231,2015.05,9.549613,1
BTC,21.912875,2015.02,9.634432,1
MIOTA,21.896989,2018.07,9.721757,13
BTC,21.890459,2015.06,9.520704,1
EOS,21.883141,2019.03,9.343066,5
NEO,21.878024,2018.04,9.907168,17
XMR,21.865122,2017.12,9.107788,12
ETC,21.849465,2018.03,9.361256,17
XLM,21.845102,2018.12,9.646442,8
LTC,21.831253,2018.11,9.543572,4
ETC,21.828191,2017.12,8.997344,17
BCH,21.826777,2019.01,9.478595,6
BCH,21.825271,2018.12,9.906116,6
LTC,21.813678,2019.03,9.316782,4
LTC,21.800585,2017.11,9.453284,4
MIOTA,21.779592,2018.04,9.726419,13
LTC,21.766990,2017.10,9.620025,4
USDT,21.765660,2018.09,9.383588,9
XMR,21.760340,2018.04,9.735612,12
USDT,21.754917,2018.10,9.452706,9
ADA,21.719334,2018.09,9.534133,11
USDT,21.718017,2018.07,9.396360,9
TRX,21.710003,2018.02,9.713758,10
XEM,21.702703,2017.09,9.296110,16
DASH,21.692799,2017.09,9.135266,12
XMR,21.685510,2018.06,9.601248,12
EOS,21.685256,2019.01,9.411996,5
DASH,21.680858,2018.06,9.588017,14
TRX,21.678371,2018.07,9.604523,10
EOS,21.671921,2018.12,9.686051,5
LSK,21.663059,2018.01,8.949442,28
LSK,21.647384,2018.02,9.408147,28
USDT,21.635918,2018.06,9.363850,9
DASH,21.635109,2018.04,9.679285,14
MIOTA,21.626781,2018.08,9.509742,13
USDT,21.606511,2018.08,9.432015,9
XEM,21.587490,2018.06,9.578133,19
TRX,21.578033,2018.04,9.541721,10
DASH,21.575102,2017.10,9.421063,14
BCH,21.573174,2019.03,9.331143,6
NEO,21.572850,2018.07,9.566988,17
USDT,21.561061,2018.05,9.359349,9
ETC,21.555088,2018.02,9.537940,17
XRP,21.553714,2017.04,8.350440,3
USDT,21.550698,2018.04,9.345676,9
XLM,21.550384,2019.01,9.487207,8
NEO,21.547232,2017.12,9.202127,16
XMR,21.545029,2018.07,9.417898,12
XEM,21.543441,2017.12,9.176665,18
QTUM,21.527482,2018.02,9.651235,25
USDT,21.519214,2018.03,9.341756,9
EOS,21.513204,2019.02,9.417787,5
LTC,21.513090,2017.08,9.333201,4
NANO,21.511758,2018.02,9.652321,39
ETC,21.511413,2018.05,9.154055,18
USDT,21.510188,2018.02,9.138237,9
NANO,21.492434,2018.03,9.342438,38
LTC,21.490489,2017.07,9.172418,4
BCH,21.485750,2019.02,9.479249,6
ADA,21.483903,2018.10,9.432587,11
XVG,21.460464,2018.01,7.944684,42
XEM,21.457060,2017.10,9.425364,17
LTC,21.452684,2019.02,9.301217,4
TRX,21.452554,2018.08,9.414797,10
OMG,21.451300,2018.01,8.977776,26
BTS,21.448920,2018.01,8.553046,37
XEM,21.441396,2017.06,8.668816,11
USDT,21.439425,2019.03,9.306706,9
XRP,21.437346,2017.05,9.360659,3
XEM,21.437293,2018.04,9.551014,19
DASH,21.436205,2018.07,9.415877,14
DASH,21.432288,2017.11,9.369948,14
USDT,21.429483,2019.02,9.280680,9
ICX,21.427316,2018.02,9.389296,32
EOS,21.423487,2017.12,8.695228,5
LTC,21.417765,2018.12,9.481193,4
LTC,21.416843,2019.01,9.301617,4
XMR,21.415131,2018.08,9.356887,12
MIOTA,21.406982,2018.09,9.392392,13
QTUM,21.406391,2018.05,9.105074,26
XEM,21.405085,2017.08,9.156488,15
PPT,21.403436,2018.02,9.218330,53
XMR,21.402744,2018.09,9.300473,12
LSK,21.399868,2018.03,9.401339,28
MIOTA,21.382491,2017.09,8.900514,11
QTUM,21.379603,2018.03,9.349266,25
XMR,21.376942,2018.10,9.295093,12
ETC,21.370569,2017.09,9.143124,15
USDT,21.369555,2019.01,9.267969,9
OMG,21.359519,2018.03,9.131063,26
BTG,21.355868,2018.03,9.267617,24
ADA,21.355540,2018.11,9.330341,11
XMR,21.352112,2017.09,8.812271,10
NEO,21.340928,2018.08,9.368970,17
USDT,21.340287,2018.12,9.246714,9
BTG,21.339478,2018.02,9.666406,24
XEM,21.332467,2018.07,9.375328,19
ARDR,21.331525,2018.01,8.634183,53
NEO,21.331427,2017.10,9.200328,15
USDT,21.291347,2018.11,9.448040,9
DASH,21.289756,2018.09,9.241920,14
OMG,21.288307,2018.05,8.950921,27
XMR,21.282591,2018.11,9.283888,12
DASH,21.280307,2018.08,9.309626,14
TRX,21.277613,2019.02,9.129532,10
ZEC,21.273815,2018.01,8.956954,20
ETC,21.259495,2018.07,9.207840,18
ETH,21.254489,2017.03,8.981244,2
ICX,21.250332,2018.05,8.914211,35
TRX,21.242824,2018.09,9.316726,10
BNB,21.239507,2019.03,8.949506,7
BNB,21.238537,2018.06,9.215702,7
ETC,21.235115,2017.07,9.205011,12
XLM,21.233959,2017.12,8.660820,8
BSV,21.232879,2019.01,9.244100,12
BNB,21.231077,2018.07,9.223779,7
PPT,21.225989,2018.01,8.716066,50
STEEM,21.225066,2018.01,8.470830,34
BNB,21.219938,2018.05,9.166520,7
XLM,21.207343,2019.03,9.202116,8
ETC,21.201834,2018.06,9.342288,18
ETC,21.195321,2017.06,8.778758,10
MIOTA,21.192854,2017.10,9.286298,13
NEO,21.188681,2017.11,9.264121,15
XLM,21.188654,2019.02,9.359213,8
STRAT,21.185018,2018.01,8.765701,46
NEO,21.184538,2017.09,8.607919,14
MIOTA,21.168085,2018.10,9.296934,13
ETC,21.162379,2018.08,9.232881,18
TRX,21.148209,2019.03,9.240750,10
DASH,21.144232,2018.10,9.246024,14
TRX,21.130708,2018.11,9.162130,10
XEM,21.130052,2017.11,9.318683,17
