name,value,year,lastValue,rank
BTC,9.713737,2014.12,9.641999,1
EOS,9.709027,2018.10,9.776735,5
MIOTA,9.701158,2018.02,10.045613,13
BTC,9.699238,2014.10,9.800147,1
XLM,9.690430,2018.08,9.601932,8
LTC,9.688398,2018.07,9.845389,4
EOS,9.686051,2018.11,9.709027,5
DASH,9.679285,2018.03,9.664026,14
XLM,9.668890,2018.10,9.625230,8
BTG,9.666406,2018.01,9.698094,24
DASH,9.664026,2018.02,9.977352,14
EOS,9.654959,2018.04,9.755267,5
NANO,9.652321,2018.01,7.500954,38
QTUM,9.651235,2018.01,8.981516,25
XLM,9.646442,2018.11,9.668890,8
ETH,9.643894,2017.04,9.230707,2
LTC,9.642616,2018.08,9.688398,4
BTC,9.641999,2014.11,9.699238,1
BTC,9.634432,2015.01,9.713737,1
XLM,9.625230,2018.09,9.690430,8
XLM,9.620305,2018.04,9.771718,8
LTC,9.620025,2017.09,9.343016,4
ADA,9.613174,2018.07,9.771197,11
BTC,9.611174,2015.08,9.563753,1
ADA,9.607949,2018.04,9.881367,11
TRX,9.604523,2018.06,9.778815,10
XLM,9.601932,2018.07,9.743850,8
XMR,9.601248,2018.05,9.450395,12
MIOTA,9.600869,2017.12,9.007519,13
DASH,9.588017,2018.05,9.396009,14
BTC,9.583332,2015.03,9.516641,1
LTC,9.581563,2018.09,9.642616,4
XEM,9.578133,2018.05,9.310098,19
XMR,9.567481,2018.02,9.775567,12
NEO,9.566988,2018.06,9.741257,17
BTC,9.563753,2015.07,9.506906,1
XEM,9.551014,2018.03,9.719652,18
BTC,9.549613,2015.04,9.583332,1
LTC,9.543572,2018.10,9.581563,4
BTC,9.542007,2015.10,9.523799,1
TRX,9.541721,2018.03,9.428534,10
ETC,9.537940,2018.01,9.479863,17
ADA,9.535481,2017.12,8.742253,11
ADA,9.534133,2018.08,9.613174,11
BTC,9.523799,2015.09,9.611174,1
BTC,9.520704,2015.05,9.549613,1
BTC,9.516641,2015.02,9.634432,1
MIOTA,9.509742,2018.07,9.721757,13
BTC,9.506906,2015.06,9.520704,1
EOS,9.503727,2019.03,9.343066,5
NEO,9.501505,2018.04,9.907168,17
XMR,9.495902,2017.12,9.107788,12
ETC,9.489102,2018.03,9.361256,17
XLM,9.487207,2018.12,9.646442,8
LTC,9.481193,2018.11,9.543572,4
ETC,9.479863,2017.12,8.997344,17
BCH,9.479249,2019.01,9.478595,6
BCH,9.478595,2018.12,9.906116,6
LTC,9.473560,2019.03,9.316782,4
LTC,9.467874,2017.11,9.453284,4
MIOTA,9.458756,2018.04,9.726419,13
LTC,9.453284,2017.10,9.620025,4
USDT,9.452706,2018.09,9.383588,9
XMR,9.450395,2018.04,9.735612,12
USDT,9.448040,2018.10,9.452706,9
ADA,9.432587,2018.09,9.534133,11
USDT,9.432015,2018.07,9.396360,9
TRX,9.428534,2018.02,9.713758,10
XEM,9.425364,2017.09,9.296110,16
DASH,9.421063,2017.09,9.135266,12
XMR,9.417898,2018.06,9.601248,12
EOS,9.417787,2019.01,9.411996,5
DASH,9.415877,2018.06,9.588017,14
TRX,9.414797,2018.07,9.604523,10
EOS,9.411996,2018.12,9.686051,5
LSK,9.408147,2018.01,8.949442,28
LSK,9.401339,2018.02,9.408147,28
USDT,9.396360,2018.06,9.363850,9
DASH,9.396009,2018.04,9.679285,14
MIOTA,9.392392,2018.08,9.509742,13
USDT,9.383588,2018.08,9.432015,9
XEM,9.375328,2018.06,9.578133,19
TRX,9.371221,2018.04,9.541721,10
DASH,9.369948,2017.10,9.421063,14
BCH,9.369110,2019.03,9.331143,6
NEO,9.368970,2018.07,9.566988,17
USDT,9.363850,2018.05,9.359349,9
ETC,9.361256,2018.02,9.537940,17
XRP,9.360659,2017.04,8.350440,3
USDT,9.359349,2018.04,9.345676,9
XLM,9.359213,2019.01,9.487207,8
NEO,9.357844,2017.12,9.202127,16
XMR,9.356887,2018.07,9.417898,12
XEM,9.356198,2017.12,9.176665,18
QTUM,9.349266,2018.02,9.651235,25
USDT,9.345676,2018.03,9.341756,9
EOS,9.343066,2019.02,9.417787,5
LTC,9.343016,2017.08,9.333201,4
NANO,9.342438,2018.02,9.652321,39
ETC,9.342288,2018.05,9.154055,18
USDT,9.341756,2018.02,9.138237,9
NANO,9.334045,2018.03,9.342438,38
LTC,9.333201,2017.07,9.172418,4
BCH,9.331143,2019.02,9.479249,6
ADA,9.330341,2018.10,9.432587,11
XVG,9.320161,2018.01,7.944684,42
XEM,9.318683,2017.10,9.425364,17
LTC,9.316782,2019.02,9.301217,4
TRX,9.316726,2018.08,9.414797,10
OMG,9.316181,2018.01,8.977776,26
BTS,9.315147,2018.01,8.553046,37
XEM,9.311880,2017.06,8.668816,11
USDT,9.311024,2019.03,9.306706,9
XRP,9.310121,2017.05,9.360659,3
XEM,9.310098,2018.04,9.551014,19
DASH,9.309626,2018.07,9.415877,14
DASH,9.307924,2017.11,9.369948,14
USDT,9.306706,2019.02,9.280680,9
ICX,9.305765,2018.02,9.389296,32
EOS,9.304102,2017.12,8.695228,5
LTC,9.301617,2018.12,9.481193,4
LTC,9.301217,2019.01,9.301617,4
XMR,9.300473,2018.08,9.356887,12
MIOTA,9.296934,2018.09,9.392392,13
QTUM,9.296677,2018.05,9.105074,26
XEM,9.296110,2017.08,9.156488,15
PPT,9.295394,2018.02,9.218330,53
XMR,9.295093,2018.09,9.300473,12
LSK,9.293844,2018.03,9.401339,28
MIOTA,9.286298,2017.09,8.900514,11
QTUM,9.285044,2018.03,9.349266,25
XMR,9.283888,2018.10,9.295093,12
ETC,9.281120,2017.09,9.143124,15
USDT,9.280680,2019.01,9.267969,9
OMG,9.276321,2018.03,9.131063,26
BTG,9.274736,2018.03,9.267617,24
ADA,9.274593,2018.11,9.330341,11
XMR,9.273105,2017.09,8.812271,10
NEO,9.268247,2018.08,9.368970,17
USDT,9.267969,2018.12,9.246714,9
BTG,9.267617,2018.02,9.666406,24
XEM,9.264573,2018.07,9.375328,19
ARDR,9.264164,2018.01,8.634183,53
NEO,9.264121,2017.10,9.200328,15
USDT,9.246714,2018.11,9.448040,9
DASH,9.246024,2018.09,9.241920,14
OMG,9.245394,2018.05,8.950921,27
XMR,9.242912,2018.11,9.283888,12
DASH,9.241920,2018.08,9.309626,14
TRX,9.240750,2019.02,9.129532,10
ZEC,9.239101,2018.01,8.956954,20
ETC,9.232881,2018.07,9.207840,18
