name,value,year,lastValue,rank
BTC,5676.528707,2016.02,6517.390487,1
XLM,5544.337025,2018.06,8157.279931,8
NEO,5511.337000,2018.05,3173.254500,17
BTC,5506.313796,2014.04,6978.524072,1
XMR,5440.160528,2018.03,3693.862145,12
LTC,5425.172171,2017.12,2936.796129,4
EOS,5406.250924,2018.01,2014.198808,5
BTC,5355.891235,2015.12,5343.556482,1
BTC,5343.556482,2015.11,3483.431578,1
MIOTA,5326.219314,2018.03,5025.251775,13
MIOTA,5269.350125,2018.06,6277.041033,13
XEM,5243.867999,2018.02,10441.619999,18
TRX,5173.179556,2018.01,136.282196,10
BTC,5172.928823,2014.12,4385.292372,1
EOS,5117.140244,2018.10,5980.465593,5
MIOTA,5025.251775,2018.02,11107.419940,13
BTC,5003.085408,2014.10,6311.703012,1
XLM,4902.642206,2018.08,3998.817371,8
LTC,4879.760110,2018.07,7004.694349,4
EOS,4853.450102,2018.11,5117.140244,5
DASH,4778.426498,2018.03,4613.447372,14
XLM,4665.414407,2018.10,4219.197140,8
BTG,4638.801962,2018.01,4989.928184,24
DASH,4613.447372,2018.02,9491.870286,14
EOS,4518.128380,2018.04,5692.032956,5
NANO,4490.773818,2018.01,31.692306,38
QTUM,4479.559266,2018.01,958.332310,25
XLM,4430.389054,2018.11,4665.414407,8
ETH,4404.475423,2017.04,1701.011948,2
LTC,4391.532339,2018.08,4879.760110,4
BTC,4385.292372,2014.11,5003.085408,1
BTC,4309.551126,2015.01,5172.928823,1
XLM,4219.197140,2018.09,4902.642206,8
XLM,4171.621676,2018.04,5911.772933,8
LTC,4168.935431,2017.09,2203.009837,4
ADA,4103.684871,2018.07,5904.682898,11
BTC,4084.832103,2015.08,3662.295200,1
ADA,4054.604926,2018.04,7609.698911,11
TRX,4022.745613,2018.06,6009.173585,10
XLM,3998.817371,2018.07,5544.337025,8
XMR,3992.528815,2018.05,2820.950579,12
MIOTA,3989.042886,2017.12,1017.463737,13
DASH,3872.724832,2018.05,2488.906375,14
BTC,3831.178959,2015.03,3285.797305,1
LTC,3815.602461,2018.09,4391.532339,4
XEM,3785.589000,2018.05,2042.199000,19
XMR,3693.862145,2018.02,5964.399705,12
NEO,3689.673000,2018.06,5511.337000,17
BTC,3662.295200,2015.07,3212.962177,1
XEM,3556.431000,2018.03,5243.867999,18
BTC,3544.973232,2015.04,3831.178959,1
LTC,3496.006537,2018.10,3815.602461,4
BTC,3483.431578,2015.10,3340.404203,1
TRX,3481.136673,2018.03,2682.467080,10
ETC,3450.958113,2018.01,3018.997143,17
ADA,3431.473713,2017.12,552.399572,11
ADA,3420.843614,2018.08,4103.684871,11
BTC,3340.404203,2015.09,4084.832103,1
BTC,3316.683007,2015.05,3544.973232,1
BTC,3285.797305,2015.02,4309.551126,1
MIOTA,3234.011280,2018.07,5269.350125,13
BTC,3212.962177,2015.06,3316.683007,1
EOS,3189.533494,2019.03,2203.259244,5
NEO,3173.254500,2018.04,8075.470000,17
XMR,3132.576041,2017.12,1281.705788,12
ETC,3083.911269,2018.03,2297.501840,17
XLM,3070.486824,2018.12,4430.389054,8
LTC,3028.256022,2018.11,3496.006537,4
ETC,3018.997143,2017.12,993.902494,17
BCH,3014.732747,2019.01,3010.194661,6
BCH,3010.194661,2018.12,8055.935542,6
LTC,2975.500410,2019.03,2073.872814,4
LTC,2936.796129,2017.11,2839.774397,4
MIOTA,2875.785417,2018.04,5326.219314,13
LTC,2839.774397,2017.10,4168.935431,4
USDT,2835.998470,2018.09,2418.735658,9
XMR,2820.950579,2018.04,5440.160528,12
USDT,2805.694872,2018.10,2835.998470,9
ADA,2707.615830,2018.09,3420.843614,11
USDT,2704.051498,2018.07,2490.919612,9
TRX,2682.467080,2018.02,5173.179556,10
XEM,2662.956000,2017.09,1977.471000,16
DASH,2636.713155,2017.09,1365.419589,12
XMR,2617.565154,2018.06,3992.528815,12
EOS,2616.899859,2019.01,2582.234218,5
DASH,2605.414228,2018.06,3872.724832,14
TRX,2598.943956,2018.07,4022.745613,10
EOS,2582.234218,2018.12,4853.450102,5
LSK,2559.452189,2018.01,890.105861,28
LSK,2519.644210,2018.02,2559.452189,28
USDT,2490.919612,2018.06,2311.264544,9
DASH,2488.906375,2018.04,4778.426498,14
MIOTA,2468.264584,2018.08,3234.011280,13
USDT,2418.735658,2018.08,2704.051498,9
XEM,2373.165000,2018.06,3785.589000,19
TRX,2350.826622,2018.04,3481.136673,10
DASH,2343.946234,2017.10,2636.713155,14
BCH,2339.431979,2019.03,2143.595618,6
NEO,2338.674000,2018.07,3689.673000,17
USDT,2311.264544,2018.05,2287.438142,9
